name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types
Pizzeria & Bistro Lupo Mainz,"Stahlbergstraße 24, 55131 Mainz, Deutschland",06131 51150,http://lupopizzeria.de/,True,0,nicht erreichbar,Dringend neues Design,"pizza_delivery,meal_takeaway,meal_delivery,food_delivery,italian_restaurant,restaurant,food,point_of_interest,establishment"
102 café & mehr,"Langenbeckstraße 1/Geb 102, 55131 Mainz, Deutschland",06131 2140289,https://www.das102.de/kontakt/,True,0,nicht erreichbar,Dringend neues Design,"cafe,food,point_of_interest,establishment"
Di Alessa,"Feldbergstraße 14, 55118 Mainz, Deutschland",06131 9710999,https://di-alessa.de/,True,0,nicht erreichbar,Dringend neues Design,"italian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment"
La Siciliana Mainz,"Heuerstraße 14A, 55129 Mainz, Deutschland",06131 6334692,https://lasicilianamainz.de/,True,0,nicht erreichbar,Dringend neues Design,"italian_restaurant,pizza_delivery,pizza_restaurant,meal_delivery,food_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment"
Re Castello | Mainz,"Schottstraße 5, 55116 Mainz, Deutschland",06131 6226089,https://pizzeria-recastello.de/,True,0,nicht erreichbar,Dringend neues Design,"italian_restaurant,pizza_delivery,meal_delivery,diner,pizza_restaurant,meal_takeaway,food_delivery,restaurant,food,point_of_interest,establishment"
Pizza Dato,"Neue Mainzer Str. 16, 55129 Mainz-Hechtsheim, Deutschland",06131 504592,https://pizzadato-mainz.de/,True,0,nicht erreichbar,Dringend neues Design,"italian_restaurant,pizza_delivery,meal_delivery,pizza_restaurant,meal_takeaway,food_delivery,restaurant,food,point_of_interest,establishment"
Pizzeria Milano - Holzofen Pizza Mainz | Restaurant und Lieferservice,"An d. Philippsschanze 7, 55131 Mainz, Deutschland",06131 9309433,https://pizzeria-milano-mainz.de/delivery?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,True,0,nicht erreichbar,Dringend neues Design,"pizza_restaurant,pizza_delivery,meal_delivery,european_restaurant,meal_takeaway,italian_restaurant,food_delivery,restaurant,food,point_of_interest,establishment"
Red Chilli,"Am Judensand 3, 55122 Mainz, Deutschland",06131 5702652,http://redchilli-thai.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=67f125bc-6dba-45a8-afb3-3623c7db4ef7,True,0,nicht erreichbar,Dringend neues Design,"thai_restaurant,restaurant,food,point_of_interest,establishment"
Noodle Fusion 1990 Mainz,"Grebenstraße 18, 55116 Mainz, Deutschland",06131 9300322,https://noodlefusion-1990.96digital.de/,True,0,nicht erreichbar,Dringend neues Design,"restaurant,barbecue_restaurant,vietnamese_restaurant,fusion_restaurant,asian_restaurant,seafood_restaurant,food_store,store,tapas_restaurant,food,point_of_interest,establishment"
Hà Nội Phố,"Neubrunnenstraße 3, 55116 Mainz, Deutschland",06131 2400505,https://hanoipho.günstigbestellen.de/,True,0,nicht erreichbar,Dringend neues Design,"vietnamese_restaurant,meal_delivery,food_delivery,noodle_shop,meal_takeaway,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Hoa Mai,"Mittlere Bleiche 23, 55116 Mainz, Deutschland",06131 9459662,http://www.hoa-mai.de.rs/,True,0,nicht erreichbar,Dringend neues Design,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment"
China Garden,"Mombacher Str. 76A, 55122 Mainz, Deutschland",06131 6007060,http://china-garden-mainz-lieferservice.de/,True,0,nicht erreichbar,Dringend neues Design,"chinese_restaurant,mongolian_barbecue_restaurant,asian_restaurant,thai_restaurant,sushi_restaurant,japanese_restaurant,buffet_restaurant,restaurant,point_of_interest,food,establishment"
Asia Mai-Linh,"Philipp-Reis-Straße 13, 55129 Mainz, Deutschland",06131 501308,https://mai-linh.günstigbestellen.de/,True,0,nicht erreichbar,Dringend neues Design,"asian_restaurant,thai_restaurant,restaurant,point_of_interest,food,establishment"
Bobby's Restaurant,"Zaybachstraße 5, 55128 Mainz, Deutschland",06131 4906724,https://www.bobbysrestaurant.de/,True,0,nicht erreichbar,Dringend neues Design,"thai_restaurant,restaurant,point_of_interest,food,establishment"
